saphir-cli,0,/nix/store/dfcd96nrnq516lxcqlbvka3kzgbnz6gi-rust_saphir-cli-0.4.7
rjo,0,/nix/store/5racvp68z2jghxli7vvnnkwd0wk2c7m4-rust_rjo-0.3.0
rage,1,
xcompress,1,
gbump,0,/nix/store/n3hh63gaa5fyi4r62h0qm0i0984vg4vj-rust_gbump-1.0.5
logq,1,
streamson-bin,1,
sfm,0,/nix/store/sq01lin9knway3wsqlcw7c4k2f1q0pw3-rust_sfm-0.5.0
hg-git-fast-import,0,/nix/store/s4cic3caxh2015fgpwc0xgyjj0c0qwv8-rust_hg-git-fast-import-1.3.7
silicon,1,
enquirer,0,/nix/store/dfdx6f9m55r3dry41i7wn598gr1r2wpr-rust_enquirer-0.5.0
ultraman,0,/nix/store/kkrps7fjwhgjgdc38z449gmx66vzzmaf-rust_ultraman-0.1.2
atomsh,0,/nix/store/4fbf93ah8dnpwjf0mlnxwl5miz9i3fhn-rust_atomsh-0.1.1
rust-latest,1,
git-global,1,
guidon-cli,1,
bitbucket_server_cli,1,
ukebox,1,
zifu,1,
what-bump,0,/nix/store/n9kap11bq1yj12cy253hm5mx6gcr4z6p-rust_what-bump-1.2.0
pact_verifier_cli,1,
helm-templexer,1,
termbook-cli,1,
rust-covfix,0,/nix/store/yb4qrwl220hk5ac24qalrcy3v7vifh5b-rust_rust-covfix-0.2.1
rust-code-analysis-cli,1,
sub-batch,0,/nix/store/536xc0par8mr0yk0gl54hj9b7qbi58xz-rust_sub-batch-0.4.0
elf2tab,0,/nix/store/2f0br6c8wc1bq1ya7p09ghps0ri5rx62-rust_elf2tab-0.6.0
ogham/dog,1,
fints-institute-db,1,
skim,0,/nix/store/bj3llw3gk6sy7wxg5gi33h4k12b74hcx-rust_skim-0.9.4
yaydl,1,
intspan,1,
diffsitter,1,
paper-terminal,0,/nix/store/g60nbbbqanp1c0r4gb5xmcinxmnl3nyy-rust_paper-terminal-2.1.2
heliocron,0,/nix/store/7694z72sl2d5r61xdcgfkbiwx4457nxi-rust_heliocron-0.5.0
id3-image,0,/nix/store/d5n7nvxc7mi854vmg9kyfxrrrrkvd02d-rust_id3-image-0.3.0
rnr,0,/nix/store/7z425cqlwbdh029dzh7yjqnvpmhkpqpr-rust_rnr-0.3.0
dtn7,1,
tcalc,0,/nix/store/5b40js6fsfay9rs9f05nfn5yk59ih1sp-rust_tcalc-1.7.16
pier,0,/nix/store/r52mdzrbb90zbabpc2a864xqbab5irp2-rust_pier-0.1.5
mrh,0,/nix/store/h308cwc9lpafk1bi0g4p8l9mfjchvpgg-rust_mrh-0.10.13
firma-cli,0,/nix/store/kngbsiwqk5z8ca5b54jna8nziaj035ss-rust_firma-cli-0.19.0
bk,1,
fddf,0,/nix/store/8rrzfk5ljn858wknnhb18zla0652k4mk-rust_fddf-1.7.0
roche,1,
domo,1,
semiuniq,0,/nix/store/1yrkgcfs0ndv4w0xazqgs4166r4bngiz-rust_semiuniq-0.1.6
gitweb,0,/nix/store/qsi9l35jcw3x1mpcjvfsy55jvc0bl46l-rust_gitweb-0.3.1
